lead_id,outcome_of_the_call,gender,age_group,user_sentiment,campaign_id,status_flag,deal_value
1,unclear,M,kid,,camp-main,active,500
2,unclear,M,kid,,camp-main,active,510
3,unclear,M,kid,,camp-main,active,520
4,unclear,M,kid,,camp-main,active,530
5,unclear,M,kid,,camp-main,active,540
6,unclear,M,kid,,camp-main,active,550
7,unclear,M,kid,,camp-main,active,560
8,unclear,M,kid,,camp-main,active,570
9,unclear,M,kid,,camp-main,active,580
10,unclear,M,kid,,camp-main,active,590
11,unclear,M,kid,,camp-main,active,600
12,unclear,M,kid,,camp-main,active,610
13,unclear,M,kid,,camp-main,active,620
14,unclear,M,kid,,camp-main,active,630
15,unclear,M,kid,,camp-main,active,640
16,unclear,M,kid,,camp-main,active,650
17,unclear,M,kid,,camp-main,active,660
18,unclear,M,kid,,camp-main,active,670
19,unclear,M,kid,,camp-main,active,680
20,unclear,M,kid,,camp-main,active,690
21,unclear,M,kid,,camp-main,active,700
22,unclear,M,kid,,camp-main,active,710
23,unclear,M,kid,,camp-main,active,720
24,unclear,M,kid,,camp-main,active,730
25,unclear,M,kid,,camp-main,active,740
26,unclear,M,kid,,camp-main,active,750
27,unclear,M,kid,,camp-main,active,760
28,unclear,M,kid,,camp-main,active,770
29,unclear,M,kid,,camp-main,active,780
30,unclear,M,kid,,camp-main,active,790
31,unclear,M,kid,,camp-main,active,800
32,unclear,M,kid,,camp-main,active,810
33,unclear,M,kid,,camp-main,active,820
34,unclear,M,kid,,camp-main,active,830
35,unclear,M,kid,,camp-main,active,840
36,unclear,M,kid,,camp-main,active,850
37,unclear,M,kid,,camp-main,active,860
38,unclear,M,kid,,camp-main,active,870
39,unclear,M,kid,,camp-main,active,880
40,unclear,M,kid,,camp-main,active,890
41,unclear,male,teen,,camp-main,active,900
42,unclear,male,teen,,camp-main,active,910
43,unclear,male,teen,,camp-main,active,920
44,unclear,male,teen,,camp-main,active,930
45,unclear,male,teen,,camp-main,active,940
46,unclear,male,teen,,camp-main,active,950
47,unclear,male,teen,,camp-main,active,960
48,unclear,male,teen,,camp-main,active,970
49,unclear,male,teen,,camp-main,active,980
50,unclear,male,teen,,camp-main,active,990
51,unclear,male,teen,,camp-main,active,1000
52,unclear,male,teen,,camp-main,active,1010
53,unclear,male,teen,,camp-main,active,1020
54,unclear,male,teen,,camp-main,active,1030
55,unclear,male,teen,,camp-main,active,1040
56,unclear,male,teen,,camp-main,active,1050
57,unclear,male,teen,,camp-main,active,1060
58,unclear,male,teen,,camp-main,active,1070
59,unclear,male,teen,,camp-main,active,1080
60,unclear,male,teen,,camp-main,active,1090
61,unclear,male,teen,neutral,camp-main,active,1100
62,unclear,male,teen,neutral,camp-main,active,1110
63,unclear,male,teen,neutral,camp-main,active,1120
64,unclear,male,teen,neutral,camp-main,active,1130
65,unclear,male,teen,neutral,camp-main,active,1140
66,unclear,male,teen,neutral,camp-main,active,1150
67,unclear,male,teen,neutral,camp-main,active,1160
68,unclear,male,teen,neutral,camp-main,active,1170
69,unclear,male,teen,neutral,camp-main,active,1180
70,unclear,male,teen,neutral,camp-main,active,1190
71,unclear,Male,13,neutral,camp-main,active,1200
72,unclear,Male,13,neutral,camp-main,active,1210
73,unclear,Male,13,neutral,camp-main,active,1220
74,unclear,Male,13,neutral,camp-main,active,1230
75,unclear,Male,13,neutral,camp-main,active,1240
76,unclear,Male,13,neutral,camp-main,active,1250
77,unclear,Male,13,neutral,camp-main,active,1260
78,unclear,Male,13,neutral,camp-main,active,1270
79,unclear,Male,13,neutral,camp-main,active,1280
80,unclear,Male,13,neutral,camp-main,active,1290
81,unclear,F,13,neutral,camp-main,active,1300
82,unclear,F,13,neutral,camp-main,active,1310
83,unclear,F,13,neutral,camp-main,active,1320
84,unclear,F,13,neutral,camp-main,active,1330
85,unclear,F,13,neutral,camp-main,active,1340
86,favorable,F,13,neutral,camp-main,active,1350
87,favorable,F,13,neutral,camp-main,active,1360
88,favorable,F,13,neutral,camp-main,active,1370
89,favorable,F,13,neutral,camp-main,active,1380
90,favorable,F,13,neutral,camp-main,active,1390
91,favorable,F,13,neutral,camp-main,active,1400
92,favorable,F,13,neutral,camp-main,active,1410
93,favorable,F,13,neutral,camp-main,active,1420
94,favorable,F,13,neutral,camp-main,active,1430
95,favorable,F,13,neutral,camp-pilot,active,1440
96,unfavorable,F,13,neutral,camp-pilot,active,1450
97,unfavorable,F,13,neutral,camp-pilot,active,1460
98,unfavorable,F,13,neutral,camp-pilot,active,50000
99,unfavorable,F,13,neutral,camp-pilot,active,55000
100,unfavorable,F,13,neutral,camp-pilot,active,60000
