order_id,customer_id,order_date,order_status,payment_method,shipping_city,order_total
O1001,C001,2024-06-01,delivered,card,Bengaluru,4599.00
O1002,C002,2024-06-02,delivered,upi,Mumbai,1299.50
O1003,C001,2024-06-10,delivered,card,Bengaluru,899.00
O1004,C003,2024-06-11,cancelled,upi,Chennai,2499.00
O1005,C004,2024-06-15,delivered,cod,Delhi,3199.00
O1006,C005,2024-06-18,delivered,card,Bengaluru,5499.00
O1007,C002,2024-06-20,returned,upi,Mumbai,799.00
O1008,C006,2024-06-22,delivered,card,Pune,1999.00
O1009,C007,2024-07-01,delivered,upi,Mumbai,2799.00
O1010,C001,2024-07-03,delivered,card,Bengaluru,1099.00
O1011,C008,2024-07-05,delivered,cod,Hyderabad,3499.00
O1012,C009,2024-07-08,delivered,card,Chennai,6299.00
O1013,C003,2024-07-10,delivered,upi,Chennai,1499.00
O1014,C010,2024-07-12,cancelled,card,Delhi,999.00
O1015,C005,2024-07-15,delivered,upi,Bengaluru,2199.00
O1016,C002,2024-07-18,delivered,card,Mumbai,3599.00
O1017,C006,2024-07-20,delivered,cod,Pune,899.00
O1018,C007,2024-07-22,delivered,card,Mumbai,4199.00
O1019,C009,2024-07-25,returned,upi,Chennai,1799.00
O1020,C001,2024-07-28,delivered,card,Bengaluru,2599.00
